# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 704
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:05:38 PDT 2014
# Player 1: Player-0, 'random', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 random
1 (14,2) (13,1)
2 (4,12) (4,13)
3 (14,14) (13,15)
0 (1,1) (0,0)
1 (12,3) (13,4)
2 (2,14) (3,14)
3 (15,15) (14,14)
0 (1,4) (2,5)
1 (12,2) (11,3)
2 (5,14) (6,15)
3 (11,14) (11,13)
0 (3,7) (3,8)
1 (13,4) (13,5)
2 (0,14) (2,14)
2 (2,14) (4,14)
2 null null
3 (13,15) (12,15)
0 (1,5) (1,4)
1 (15,1) (14,2)
2 (1,13) (2,12)
3 (10,12) (9,13)
0 (2,2) (1,3)
1 (13,2) (14,3)
2 (4,14) (5,14)
3 (13,14) (13,15)
0 (3,8) (4,7)
1 (14,1) (15,1)
2 (1,15) (2,14)
3 (14,14) (15,13)
0 (2,0) (2,1)
1 (15,2) (13,2)
1 (13,2) (11,0)
1 (11,0) (13,0)
1 null null
2 (1,12) (1,11)
3 (15,10) (14,9)
0 (5,1) (6,2)
1 (15,1) (14,0)
2 (6,15) (6,14)
3 (13,13) (14,12)
0 (4,3) (4,4)
1 (11,4) (12,4)
2 (2,12) (3,12)
3 (15,11) (13,13)
3 null null
0 (4,7) (5,7)
1 (14,3) (13,2)
2 (1,11) (1,10)
3 (9,13) (9,12)
0 (3,0) (2,0)
1 (15,5) (14,6)
2 (3,12) (4,12)
3 (13,13) (12,12)
0 (0,1) (0,2)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 null null
2 (6,13) (5,12)
3 (13,15) (12,14)
0 (6,2) (6,1)
1 (13,1) (14,1)
2 (4,12) (5,11)
3 (12,14) (13,13)
0 (2,1) (3,2)
1 (12,1) (11,0)
2 (5,14) (6,13)
3 (12,13) (10,13)
3 (10,13) (8,11)
3 null null
0 (0,5) (1,5)
1 (13,5) (15,7)
1 (15,7) (13,5)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,14)
2 (5,14) (7,14)
2 null null
3 (14,9) (14,10)
0 (2,5) (1,6)
1 (12,0) (10,0)
1 null null
2 (3,14) (4,15)
3 (9,12) (8,13)
0 (3,2) (3,3)
1 (13,2) (15,2)
1 (15,2) (13,2)
1 (13,2) (15,2)
1 (15,2) (13,2)
1 null null
2 (4,11) (4,12)
3 (12,12) (12,11)
0 (5,7) (4,8)
1 (14,2) (15,3)
2 (5,11) (6,11)
3 (12,15) (11,15)
0 (1,0) (2,1)
1 (14,6) (13,6)
2 (4,12) (3,11)
3 (14,10) (13,10)
0 (0,3) (1,2)
1 (11,3) (10,2)
2 (2,14) (1,13)
3 (12,11) (13,11)
0 (3,3) (2,3)
1 (13,6) (13,7)
2 (2,15) (3,14)
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,11)
3 null null
0 (2,1) (1,1)
1 (14,1) (13,1)
2 (1,13) (1,12)
3 (8,11) (7,10)
0 (6,1) (6,2)
1 (12,4) (12,3)
2 (6,14) (7,13)
3 (14,15) (13,14)
0 (1,3) (2,2)
1 (12,3) (12,4)
2 (1,12) (0,13)
3 (14,13) (13,13)
0 (0,0) (1,0)
1 (11,0) (12,1)
2 (5,12) (5,11)
3 (14,11) (14,13)
3 (14,13) (12,15)
3 null null
0 (2,2) (2,1)
1 (13,7) (13,6)
2 (4,15) (4,14)
3 (8,13) (9,13)
0 (4,4) (3,5)
1 (14,4) (14,3)
2 (2,13) (2,12)
3 (9,13) (9,14)
0 (1,6) (2,7)
1 (10,0) (11,0)
2 (1,10) (0,11)
3 (13,14) (12,14)
0 (2,1) (0,1)
0 null null
1 (12,1) (14,1)
1 (14,1) (12,3)
1 (12,3) (12,5)
1 (12,5) (14,5)
1 (14,5) (12,7)
1 (12,7) (14,5)
1 (14,5) (12,7)
1 (12,7) (14,5)
1 (14,5) (12,5)
1 null null
2 (4,13) (4,15)
2 (4,15) (4,13)
2 (4,13) (2,15)
2 null null
3 (12,14) (10,12)
3 null null
0 (1,5) (0,4)
1 (13,5) (13,4)
2 (5,11) (4,10)
3 (9,14) (8,13)
0 (0,4) (2,4)
0 (2,4) (2,2)
0 (2,2) (0,0)
0 null null
1 (12,4) (12,6)
1 (12,6) (12,4)
1 (12,4) (12,6)
1 (12,6) (12,4)
1 null null
2 (3,11) (4,12)
3 (13,10) (14,9)
0 (3,5) (4,4)
1 (10,2) (9,1)
2 (0,13) (1,14)
3 (14,9) (13,9)
0 (1,4) (0,5)
1 (12,4) (12,6)
1 (12,6) (12,4)
1 (12,4) (12,6)
1 null null
2 (6,13) (5,12)
3 (13,9) (12,9)
0 (1,0) (2,1)
1 (15,0) (15,1)
2 (1,14) (0,13)
3 (10,12) (11,11)
0 (2,7) (1,8)
1 (13,4) (13,3)
2 (4,14) (4,13)
3 (8,13) (6,13)
3 (6,13) (8,13)
3 (8,13) (6,13)
3 (6,13) (8,15)
3 null null
0 (4,4) (4,3)
1 (13,3) (12,4)
2 (2,15) (2,14)
3 (7,10) (7,11)
0 (6,2) (7,1)
1 (12,5) (11,6)
2 (7,14) (6,15)
3 (7,11) (8,10)
0 (4,8) (3,8)
1 (13,1) (14,2)
2 (4,13) (2,15)
2 null null
3 (13,11) (14,10)
0 (3,8) (2,9)
1 (11,6) (10,5)
2 (3,14) (3,13)
3 (8,10) (7,11)
0 (1,2) (2,2)
1 (9,1) (8,0)
2 (0,13) (1,13)
3 (12,9) (11,9)
0 (2,2) (1,3)
1 (12,6) (12,7)
2 (2,14) (1,15)
3 (13,13) (14,14)
0 (2,1) (2,2)
1 (10,5) (10,4)
2 (2,12) (0,14)
2 null null
3 (11,9) (11,8)
0 (4,3) (3,4)
1 (14,3) (13,3)
2 (4,12) (4,13)
3 (11,11) (11,12)
0 (2,9) (1,9)
1 (11,0) (12,1)
2 (4,13) (5,14)
3 (7,11) (5,11)
3 null null
0 (0,0) (1,0)
1 (12,4) (12,5)
2 (3,13) (2,13)
3 (5,11) (5,10)
0 (2,2) (3,3)
1 (8,0) (9,1)
2 (2,13) (1,12)
3 (11,13) (10,12)
0 (0,5) (1,4)
1 (10,4) (10,5)
2 (5,12) (7,10)
2 (7,10) (5,12)
2 null null
3 (11,8) (12,8)
0 (1,3) (1,2)
1 (15,3) (15,4)
2 (1,13) (1,11)
2 null null
3 (14,12) (14,13)
0 (2,3) (2,2)
1 (12,1) (14,3)
1 (14,3) (12,1)
1 (12,1) (14,3)
1 (14,3) (12,3)
1 (12,3) (14,1)
1 (14,1) (14,3)
1 (14,3) (14,1)
1 null null
2 (1,15) (1,14)
3 (12,8) (11,7)
0 (1,4) (2,5)
1 (15,4) (15,5)
2 (0,15) (0,13)
2 null null
3 (15,12) (14,12)
0 (7,1) (8,1)
1 (12,5) (11,4)
2 (5,14) (5,15)
3 (11,7) (10,8)
0 (2,2) (3,1)
1 (13,3) (13,1)
1 (13,1) (13,3)
1 null null
2 (5,12) (4,11)
3 (14,10) (15,10)
0 (8,1) (7,0)
1 (13,3) (13,1)
1 (13,1) (13,3)
1 null null
2 (5,15) (6,14)
3 (10,12) (11,13)
0 (3,4) (3,2)
0 (3,2) (3,4)
0 (3,4) (3,2)
0 (3,2) (3,4)
0 null null
1 (13,2) (12,1)
2 (7,13) (7,12)
3 (11,12) (12,13)
0 (2,5) (1,6)
1 (13,0) (15,2)
1 (15,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (11,0)
1 null null
2 (6,14) (5,15)
3 (12,15) (13,15)
0 (1,9) (0,10)
1 (14,1) (13,1)
2 (4,11) (5,11)
3 (15,10) (14,9)
0 (0,10) (2,12)
0 (2,12) (0,10)
0 (0,10) (2,12)
0 null null
1 (10,5) (9,5)
2 (0,14) (0,15)
3 (11,15) (10,15)
0 (2,0) (2,1)
1 (11,0) (12,0)
2 (5,15) (7,15)
2 (7,15) (5,15)
2 null null
3 (15,11) (14,10)
0 (3,4) (4,4)
1 (15,5) (15,6)
2 (1,14) (2,14)
3 (14,14) (13,14)
0 (3,1) (2,0)
1 (15,6) (14,6)
2 (2,14) (2,13)
3 (14,9) (13,9)
0 (4,4) (3,5)
1 (9,5) (8,4)
2 (5,11) (3,9)
2 null null
3 (14,10) (14,9)
0 (2,1) (3,2)
1 (8,4) (7,3)
2 (7,12) (6,13)
3 (14,9) (15,10)
0 (0,2) (0,0)
0 (0,0) (0,2)
0 null null
1 (13,1) (15,3)
1 (15,3) (13,1)
1 (13,1) (11,1)
1 null null
2 (4,10) (6,10)
2 (6,10) (6,12)
2 (6,12) (6,14)
2 null null
3 (12,13) (13,12)
0 (7,0) (8,1)
1 (12,1) (11,2)
2 (1,12) (0,12)
3 (5,10) (7,12)
3 (7,12) (5,10)
3 null null
0 (3,2) (3,4)
0 (3,4) (3,6)
0 (3,6) (3,4)
0 null null
1 (7,3) (8,3)
2 (6,14) (7,15)
3 (5,10) (4,10)
0 (3,4) (2,3)
1 (14,6) (15,7)
2 (2,15) (1,15)
3 (13,15) (14,14)
0 (2,12) (1,12)
1 (11,2) (12,1)
2 (3,9) (4,8)
3 (10,15) (10,14)
0 (8,1) (7,2)
GAMEOVER 
WINNER Player-1
# Game ended: Sat Apr 05 17:05:39 PDT 2014
