# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 709
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:11:32 PDT 2014
# Player 1: Player-0, 'random', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (6,2) (7,2)
1 (13,2) (13,1)
2 (0,14) (1,14)
3 (13,9) (13,10)
0 (5,5) (6,5)
1 (11,4) (12,5)
2 (2,9) (3,8)
3 (13,10) (12,11)
0 (1,0) (0,1)
1 (14,3) (13,4)
2 (4,15) (2,15)
2 null null
3 (12,11) (12,10)
0 (5,2) (4,3)
1 (13,1) (14,0)
2 (2,15) (4,15)
2 (4,15) (6,13)
2 (6,13) (4,15)
2 null null
3 (13,15) (12,15)
0 (4,8) (5,9)
1 (11,1) (10,1)
2 (3,13) (2,14)
3 (9,13) (8,13)
0 (5,0) (6,0)
1 (12,5) (12,6)
2 (3,12) (4,13)
3 (14,13) (13,13)
0 (1,3) (2,3)
1 (15,2) (15,1)
2 (4,13) (4,12)
3 (12,10) (13,9)
0 (2,3) (2,4)
1 (15,3) (14,3)
2 (2,13) (2,15)
2 null null
3 (13,9) (12,10)
0 (2,4) (2,3)
1 (14,0) (15,0)
2 (2,14) (4,14)
2 (4,14) (6,14)
2 (6,14) (4,14)
2 (4,14) (2,14)
2 null null
3 (11,10) (11,11)
0 (0,1) (0,2)
1 (13,4) (12,5)
2 (2,12) (3,13)
3 (11,11) (10,11)
0 (0,0) (1,0)
1 (10,1) (9,0)
2 (6,11) (5,11)
3 (11,13) (10,12)
0 (1,6) (2,7)
1 (12,6) (11,6)
2 (3,13) (3,12)
3 (10,14) (10,15)
0 (2,7) (4,9)
0 (4,9) (2,7)
0 (2,7) (4,9)
0 (4,9) (6,9)
0 null null
1 (11,6) (12,7)
2 (3,8) (4,8)
3 (10,15) (11,15)
0 (2,2) (3,2)
1 (15,0) (15,2)
1 (15,2) (13,4)
1 (13,4) (11,2)
1 null null
2 (5,11) (6,10)
3 (8,13) (7,12)
0 (2,3) (3,4)
1 (11,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (13,0)
1 (13,0) (11,2)
1 null null
2 (1,14) (0,13)
3 (12,10) (13,11)
0 (1,0) (2,1)
1 (14,3) (13,4)
2 (4,12) (2,12)
2 null null
3 (11,15) (12,14)
0 (0,2) (1,1)
1 (13,4) (13,6)
1 null null
2 (2,12) (3,13)
3 (13,14) (14,14)
0 (1,1) (0,1)
1 (11,0) (11,1)
2 (5,14) (5,15)
3 (12,15) (12,13)
3 null null
0 (5,9) (4,9)
1 (9,0) (8,0)
2 (0,15) (1,14)
3 (14,15) (15,15)
0 (4,3) (2,5)
0 (2,5) (4,3)
0 (4,3) (2,5)
0 (2,5) (4,3)
0 (4,3) (2,5)
0 null null
1 (15,7) (15,8)
2 (3,13) (4,14)
3 (15,12) (13,12)
3 (13,12) (15,12)
3 null null
0 (2,5) (1,6)
1 (13,5) (13,7)
1 (13,7) (11,7)
1 null null
2 (2,15) (4,13)
2 (4,13) (2,11)
2 (2,11) (4,13)
2 null null
3 (14,14) (15,13)
0 (4,5) (4,6)
1 (13,6) (14,7)
2 (3,14) (2,15)
3 (10,12) (9,11)
0 (4,0) (5,1)
1 (8,2) (8,1)
2 (0,13) (0,14)
3 (8,15) (9,14)
0 (6,5) (5,4)
1 (12,1) (13,0)
2 (2,14) (3,13)
3 (7,12) (8,12)
0 (3,4) (2,4)
1 (8,1) (7,1)
2 (5,15) (6,15)
3 (8,12) (9,13)
0 (2,4) (3,5)
1 (14,7) (14,6)
2 (1,14) (0,13)
3 (9,14) (10,15)
0 (2,1) (3,1)
1 (8,0) (6,2)
1 null null
2 (0,13) (1,12)
3 (12,13) (13,14)
0 (3,5) (2,5)
1 (6,2) (4,0)
1 null null
2 (3,13) (5,15)
2 (5,15) (3,13)
2 (3,13) (5,13)
2 (5,13) (3,13)
2 (3,13) (3,11)
2 (3,11) (3,13)
2 null null
3 (10,11) (11,12)
0 (5,1) (4,2)
1 (11,2) (10,2)
2 (3,13) (2,12)
3 (11,12) (12,11)
0 (5,4) (5,5)
1 (12,7) (13,8)
2 (3,12) (2,11)
3 (10,10) (10,9)
0 (6,9) (7,8)
1 (14,6) (15,7)
2 (6,10) (6,9)
3 (12,14) (14,14)
3 null null
0 (7,8) (6,7)
1 (13,8) (13,9)
2 (0,14) (1,14)
3 (13,13) (13,12)
0 (5,5) (3,7)
0 (3,7) (5,5)
0 null null
1 (12,3) (12,4)
2 (4,14) (3,13)
3 (12,11) (11,10)
0 (4,9) (4,7)
0 null null
1 (15,7) (14,7)
2 (6,9) (6,10)
3 (10,9) (10,10)
0 (2,5) (3,4)
1 (11,7) (12,6)
2 (4,13) (3,14)
3 (10,15) (11,14)
0 (3,4) (2,4)
1 (10,2) (10,3)
2 (4,15) (4,14)
3 (15,15) (14,15)
0 (1,6) (0,5)
1 (15,4) (15,5)
2 (1,15) (0,15)
3 (11,10) (12,11)
0 (6,0) (7,0)
1 (11,1) (10,2)
2 (6,10) (7,9)
3 (12,11) (14,13)
3 (14,13) (12,15)
3 (12,15) (14,13)
3 null null
0 (6,7) (5,8)
1 (7,1) (6,1)
2 (1,14) (0,13)
3 (14,12) (12,12)
3 (12,12) (14,12)
3 (14,12) (12,12)
3 (12,12) (14,10)
3 null null
0 (3,1) (2,2)
1 (13,9) (14,9)
2 (7,9) (7,10)
3 (9,11) (9,12)
0 (0,5) (0,6)
GAMEOVER 
WINNER Player-1
# Game ended: Sat Apr 05 17:11:33 PDT 2014
